chart_name,date,title,artist,rank,weeks,peakPos,lastPos,change,spotifyLink
hot-100,6/18/16,One Dance,Drake Featuring WizKid & Kyla,1,9,1,1,0,https://embed.spotify.com/?uri=spotify:track:11hqMWwX7sF3sOGdtijofF
hot-100,6/18/16,Panda,Desiigner,2,15,1,2,0,https://embed.spotify.com/?uri=spotify:track:6r2jK1A6oFRPREZfxjc5d1
hot-100,6/18/16,Can't Stop The Feeling!,Justin Timberlake,3,4,1,3,0,https://embed.spotify.com/?uri=spotify:track:6JV2JOEocMgcZxYSZelKcc
hot-100,6/18/16,Work From Home,Fifth Harmony Featuring Ty Dolla $ign,4,14,4,4,0,https://embed.spotify.com/?uri=spotify:track:0SJPThTy7ynySPF4euczx7
hot-100,6/18/16,Don't Let Me Down,The Chainsmokers Featuring Daya,5,16,5,5,0,https://embed.spotify.com/?uri=spotify:track:1i1fxkWeaMmKEB4T7zqbzK
hot-100,6/18/16,7 Years,Lukas Graham,6,20,2,6,0,https://embed.spotify.com/?uri=spotify:track:7129iqBafaphfc3WPCGC0L
hot-100,6/18/16,I Took A Pill In Ibiza,Mike Posner,7,20,4,7,0,https://embed.spotify.com/?uri=spotify:track:5M2j5k8uS08xE8HnGVgabR
hot-100,6/18/16,Needed Me,Rihanna,8,18,8,9,1,https://embed.spotify.com/?uri=spotify:track:3kfxarilcBr81mb2hmZLeh
hot-100,6/18/16,This Is What You Came For,Calvin Harris Featuring Rihanna,9,5,9,11,2,https://embed.spotify.com/?uri=spotify:track:0azC730Exh71aQlOt9Zj3y
hot-100,6/18/16,Just Like Fire,P!nk,10,7,10,16,6,https://embed.spotify.com/?uri=spotify:track:7K5dzhGda2vRTaAWYI3hrb
hot-100,6/18/16,Dangerous Woman,Ariana Grande,11,12,8,8,-3,https://embed.spotify.com/?uri=spotify:track:6T506SFlFUVVNvnmCiVZR0
hot-100,6/18/16,Work,Rihanna Featuring Drake,12,19,1,10,-2,https://embed.spotify.com/?uri=spotify:track:50R3hdsZQeg3k8zJdVphSZ
hot-100,6/18/16,Don't Mind,Kent Jones,13,5,13,25,12,https://embed.spotify.com/?uri=spotify:track:5c6vPEx6QTUTjmLiza1bpy
hot-100,6/18/16,Never Forget You,Zara Larsson & MNEK,14,16,13,13,-1,
hot-100,6/18/16,Pillowtalk,Zayn,15,18,1,12,-3,https://embed.spotify.com/?uri=spotify:track:0IKK48xF4eEdfofyaeKWWO
hot-100,6/18/16,Love Yourself,Justin Bieber,16,29,1,17,1,https://embed.spotify.com/?uri=spotify:track:3hB5DgAiMAQ4DzYbsMq1IT
hot-100,6/18/16,Cake By The Ocean,DNCE,17,33,9,14,-3,https://embed.spotify.com/?uri=spotify:track:7L5jgZtAyfiU7elB8DIqCx
hot-100,6/18/16,Stressed Out,twenty one pilots,18,37,2,18,0,https://embed.spotify.com/?uri=spotify:track:3CRDbSIZ4r5MsZ0YwxuEkn
hot-100,6/18/16,Cheap Thrills,Sia Featuring Sean Paul,19,16,19,24,5,https://embed.spotify.com/?uri=spotify:track:7BPw9h8vCIX94N0rjFU12S
hot-100,6/18/16,My House,Flo Rida,20,30,4,19,-1,https://embed.spotify.com/?uri=spotify:track:6Knv6wdA0luoMUuuoYi2i1
